InstituteName,SchoolAddress,SchoolName,Municipality,PhoneNumber
ISTITUTO COMPRENSIVO CENTRO VALSUGANA,"Via Marchi, 14 38050",SCUOLA PRIMARIA RONCHI VALSUGANA,RONCHI VALSUGANA,0461/764581
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE","Via Gandhi, 1 38033",LICEO DELLE SCIENZE UMANE,CAVALESE,0462/341449
ISTITUTO COMPRENSIVO BRENTONICO,"Via Calzolari - Localita Fontana, 2 38060",,BRENTONICO,0464/395189
ISTITUTO COMPRENSIVO BRENTONICO,"Via Calzolari - Localita Fontana, 2 38060",SCUOLA PRIMARIA BRENTONICO,BRENTONICO,0464/395189
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,"Via Conci, 86 38123",,TRENTO,0461/930658
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,"Via Conci, 86 38123",ASSOCIAZIONE R. STEINER - PRIMARIA,TRENTO,0461/930658
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,"Via Conci, 86 38123",ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO,TRENTO,0461/930658
ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO,"Via Stazione Mori, 10 38068",,ROVERETO,
ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO,"Via Stazione Mori, 10 38068",Asilo Colle Fiorito,ROVERETO,0464 434899
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,"Via Monsignor  Endrici, 23 38122",,TRENTO,0461/1731200
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,"Via Monsignor  Endrici, 23 38122",ISTITUTO TECNICO PER IL SETTORE ECONOMICO,TRENTO,0461/1731200
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,"Via Monsignor  Endrici, 23 38122",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,TRENTO,0461/1731200
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,"Via Monsignor  Endrici, 23 38122",LICEO CLASSICO ARCIVESCOVILE - TRENTO,TRENTO,0461/1731200
