,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,tipo_instituto,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto,id_istituto,id_number,municipality,uri
0,0,0,0,Educational and training institution,"Via Don Meggio, 2/A",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNIC81300R,9,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Roncegno Terme,TNIC81300R
1,1,1,1,Educational and training institution,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNIS00100P,9,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese,TNIS00100P
2,2,2,2,Educational and training institution,"Via Calzolari - Localita Fontana, 2",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,,TNIC861006,2,ISTITUTO COMPRENSIVO BRENTONICO,/Scuole/ISTITUTO-COMPRENSIVO-BRENTONICO,2,Brentonico,TNIC861006
3,3,3,3,Educational and training institution,"Via Conci, 86",+39 0461 930658,,associazione@pec.scuolasteiner-trento.it,,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,,2,ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO,/Scuole/ASSOCIAZIONE-PEDAGOGICA-STEINERIANA-TRENTO2,3,Trento,ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO
4,4,4,4,Kindergarten,"Via Stazione Mori, 10",,,,,,,,1,ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO,/Scuole/ASSOCIAZIONE-RUDOLF-STEINER-PER-LA-PEDAGOGIA-APS-ROVERETO,4,Rovereto,ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO
5,5,5,5,Educational and training institution,"Via Monsignor Endrici, 23",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,,7,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO,/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5,Trento,COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO
6,6,6,6,Educational and training institution,"Corso Bettini, 71",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,,3,COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO,/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6,Rovereto,COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO
7,7,7,7,Educational and training institution,"Via Della Saluga, 7",+39 0461 080041,,cooperativasacrafamiglia@pec.it,segreteria@sacrafamigliatrento.it,segreteria@sacrafamigliatrento.it,http://www.sacrafamigliatrento.it,,1,COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS,/Scuole/COOPERATIVA-SOCIALE-SACRA-FAMIGLIA-ONLUS2,7,Trento,COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS
8,8,8,8,Educational and training institution,"Via Grazioli, 2",+39 0461 260454,+39 0461 267864,canossatrento@pec.it,direzione@centromoda.tn.it,didattica@centromoda.tn.it,http://www.centromoda.tn.it,,1,"CENTRO FORMAZIONE PROFESSIONALE ""CENTROMODA CANOSSA"" - TRENTO",/Scuole/Centro-Formazione-Professionale-Centromoda-Canossa-Trento3,8,Trento,"CENTRO FORMAZIONE PROFESSIONALE ""CENTROMODA CANOSSA"" - TRENTO"
9,9,9,9,Educational and training institution,"Via Gazzoletti, 8",+39 0464 516465,+39 0464 516497,cfp.arco@pec.it,,cfp.arco@enaip.tn.it,https://arco.enaiptrentino.it,,1,CENTRO FORMAZIONE PROFESSIONALE ENAIP - ARCO,/Scuole/Centro-Formazione-Professionale-ENAIP-Arco2,9,Arco,CENTRO FORMAZIONE PROFESSIONALE ENAIP - ARCO
