ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code,school_id
Primary School,Morning,5,2021-22,100.0,1,TNIC81300R,29503
Primary School,Morning,5,2021-22,100.0,1,TNIC81300R,29504
Primary School,Morning,5,2021-22,100.0,1,TNIC81300R,29505
Primary School,Morning,5,2021-22,100.0,1,TNIC81300R,29506
Primary School,Morning,5,2021-22,100.0,1,TNIC81300R,29507
Primary School,Morning,5,2021-22,100.0,1,TNIC81300R,29508
Primary School,Morning,5,2021-22,100.0,1,TNIC81300R,65578
Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R,29503
Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R,29504
Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R,29505
Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R,29506
Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R,29507
Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R,29508
Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R,65578
Primary School,Morning,5,2021-22,100.0,3,TNIC81300R,29503
Primary School,Morning,5,2021-22,100.0,3,TNIC81300R,29504
Primary School,Morning,5,2021-22,100.0,3,TNIC81300R,29505
Primary School,Morning,5,2021-22,100.0,3,TNIC81300R,29506
Primary School,Morning,5,2021-22,100.0,3,TNIC81300R,29507
Primary School,Morning,5,2021-22,100.0,3,TNIC81300R,29508
Primary School,Morning,5,2021-22,100.0,3,TNIC81300R,65578
Primary School,Morning,5,2021-22,100.0,4,TNIC81300R,29503
Primary School,Morning,5,2021-22,100.0,4,TNIC81300R,29504
Primary School,Morning,5,2021-22,100.0,4,TNIC81300R,29505
Primary School,Morning,5,2021-22,100.0,4,TNIC81300R,29506
Primary School,Morning,5,2021-22,100.0,4,TNIC81300R,29507
Primary School,Morning,5,2021-22,100.0,4,TNIC81300R,29508
Primary School,Morning,5,2021-22,100.0,4,TNIC81300R,65578
Primary School,Morning,5,2021-22,100.0,5,TNIC81300R,29503
Primary School,Morning,5,2021-22,100.0,5,TNIC81300R,29504
Primary School,Morning,5,2021-22,100.0,5,TNIC81300R,29505
Primary School,Morning,5,2021-22,100.0,5,TNIC81300R,29506
Primary School,Morning,5,2021-22,100.0,5,TNIC81300R,29507
Primary School,Morning,5,2021-22,100.0,5,TNIC81300R,29508
Primary School,Morning,5,2021-22,100.0,5,TNIC81300R,65578
Middle School,Morning,3,2021-22,99.0909090909091,1,TNIC81300R,29509
