,school_id,miur_code,text_review,school_name
0,29783,TNTD001011,Liceo con una significativa tradizione educativa  in Val di Fiemme intitolato al gruppo di ragazzi tedeschi dissidenti dal nazismo di Hitler e giustiziati giovanissimi,ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO
1,29784,TNTD001509,Liceo con una significativa tradizione educativa  in Val di Fiemme intitolato al gruppo di ragazzi tedeschi dissidenti dal nazismo di Hitler e giustiziati giovanissimi,ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO
2,29785,TNTL00101B,Bellissimo ben organizzato con laboratori all’avanguardia.,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
3,29786,TNTD001509,Liceo con una significativa tradizione educativa  in Val di Fiemme intitolato al gruppo di ragazzi tedeschi dissidenti dal nazismo di Hitler e giustiziati giovanissimi,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO
4,29787,TNPS001015,Bellissimo ben organizzato con laboratori all’avanguardia.,LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
5,29788,TNPS001015,Bellissimo ben organizzato con laboratori all’avanguardia.,LICEO LINGUISTICO
6,29789,TNPS001015,Bellissimo ben organizzato con laboratori all’avanguardia.,LICEO SCIENTIFICO
7,65579,TNPS001015,Bellissimo ben organizzato con laboratori all’avanguardia.,LICEO DELLE SCIENZE UMANE
8,29225,TN1E00900D,Valutazione 0,ASSOCIAZIONE R. STEINER - PRIMARIA
9,29225,TN1E00900D,(Traduzione di Google) Ottimo personale docente ... scuola interessante ... insieme alla scuola statale ... e bei eventi ...(Originale)Sehr gutes Lehrpersonal ... interessante Schule ... zusammen mit der staatlichen Schule  ... und nette Veranstaltungen ...(Traduzione di Google) Ottimo personale docente ... scuola interessante ... insieme alla scuola statale ... e bei eventi ... …Altro,ASSOCIAZIONE R. STEINER - PRIMARIA
10,29226,TN1M007003,Valutazione 0,ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO
11,29226,TN1M007003,(Traduzione di Google) Ottimo personale docente ... scuola interessante ... insieme alla scuola statale ... e bei eventi ...(Originale)Sehr gutes Lehrpersonal ... interessante Schule ... zusammen mit der staatlichen Schule  ... und nette Veranstaltungen ...(Traduzione di Google) Ottimo personale docente ... scuola interessante ... insieme alla scuola statale ... e bei eventi ... …Altro,ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO
12,29228,,"Luogo dove i bimbi hanno modo di evolvere con i loro tempi e con naturalezza. Portando rispetto a tutti  (persone e cose) . Maestre stupende! Cibo sano, naturale",ASILO COLLE FIORITO
