,school_id,miur_code,score,school_name
0,29503,TNEE813064,"5,0","SCUOLA PRIMARIA ""C. CORRADI"" NOVALEDO"
1,29504,TNEE813075,"5,0","SCUOLA PRIMARIA ""P. MARTINELLI"" RONCEGNO TERME"
2,29510,TNMM81302V,"5,0","SCUOLA SECONDARIA DI PRIMO GRADO ""M. POLA"" RONCEGNO TERME"
3,29783,TNTD001011,"5,0",ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO
4,29784,TNTD001509,"5,0",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO
5,29785,TNTL00101B,"4,7",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
6,29786,TNTD001509,"5,0",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO
7,29787,TNPS001015,"4,7",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
8,29788,TNPS001015,"4,7",LICEO LINGUISTICO
9,29789,TNPS001015,"4,7",LICEO SCIENTIFICO
10,65579,TNPS001015,"4,7",LICEO DELLE SCIENZE UMANE
11,65577,TNMM861017,"1,0",SCUOLA SECONDARIA DI PRIMO GRADO BRENTONICO
12,29225,TN1E00900D,"2,6",ASSOCIAZIONE R. STEINER - PRIMARIA
13,29226,TN1M007003,"2,6",ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO
14,29228,,"5,0",ASILO COLLE FIORITO
15,29230,TNTD37500F,"3,9",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
16,29231,TNTD37500F,"3,9",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
17,29232,TNPC01500V,"3,9",LICEO CLASSICO ARCIVESCOVILE - TRENTO
18,29233,TNPL085003,"3,9",LICEO LINGUISTICO ARCIVESCOVILE - TRENTO
19,29234,TNPS015002,"3,9",LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO
20,29235,TN1E00100V,"3,9",SCUOLA PRIMARIA ARCIVESCOVILE TRENTO
21,29236,TN1M00400G,"3,9",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE TRENTO
22,29238,TNPL005006,"5,0",LICEO LINGUISTICO ARCIVESCOVILE DAME INGLESI - ROVERETO
23,29239,TN1E006002,"5,0",SCUOLA PRIMARIA ARCIVESCOVILE DAME INGLESI ROVERETO
24,29240,TN1M00200X,"5,0",SCUOLA SECONDARIA DI PRIMO GRADO ARCIVESCOVILE DAME INGLESI ROVERETO
25,29245,TN1E005006,"5,0",SCUOLA PRIMARIA SACRA FAMIGLIA TRENTO
26,29247,TNCF009001,"4,5",SETTORE INDUSTRIA E ARTIGIANATO
27,29249,TNFP249STA,"3,3",SETTORE INDUSTRIA E ARTIGIANATO
28,29333,,"4,3","SCUOLA DELL'INFANZIA DI LEVICO TERME ""TAITA MARCOS"""
29,29351,,"2,5","SCUOLA DELL'INFANZIA DI TRENTO MATTARELLO ""IL CASTELLO"""
30,29354,,"3,0","SCUOLA DELL'INFANZIA DI TRENTO S.GIUSEPPE ""MASO GINOCCHIO - COLLODI"""
31,29254,TNFP251STA,"5,0",SETTORE INDUSTRIA E ARTIGIANATO
32,29258,TNFP254STA,"4,0",SETTORE INDUSTRIA E ARTIGIANATO
33,29259,TNFP254STA,"4,0",SETTORE SERVIZI
34,29261,TNCF001001,"3,7",SETTORE INDUSTRIA E ARTIGIANATO
35,29262,TNCF001001,"3,7",SETTORE SERVIZI
36,29264,TNCF007001,"5,0",SETTORE SERVIZI
37,29267,,"3,6",SETTORE INDUSTRIA E ARTIGIANATO SERALE
38,29269,TNFP272STA,"4,0",SETTORE SERVIZI
39,29273,TNCF004001,"4,5",SETTORE INDUSTRIA E ARTIGIANATO
40,29275,TNFP261STA,"5,0",SETTORE SERVIZI
41,29277,TNFP262STA,"4,7",SETTORE SERVIZI
42,29284,,"4,2",SETTORE SERVIZI SERALE
43,29286,TNFP253STA,"5,0",SETTORE INDUSTRIA E ARTIGIANATO
44,29287,TNFP253STA,"5,0",SETTORE SERVIZI
45,29803,TNTD00301L,"4,7",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
46,29804,TNRC00350N,"4,7",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
47,29805,TNTD00301L,"4,7",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
48,29806,TNPS00301R,"4,7",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
49,29807,TNPS00301R,"4,7",LICEO SCIENTIFICO
50,29808,TNPS00301R,"4,7",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
51,29816,TNSD020011,"4,9","LICEO ARTISTICO ""DEPERO""- ROVERETO"
52,29817,TNSD02000X,"4,3","LICEO ARTISTICO ""VITTORIA"" - TRENTO"
53,29819,TNSD02000X,"4,6",LICEO MUSICALE COREUTICO
54,29821,TNTD035003,"4,4",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
55,29822,TNTD035003,"4,4",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
56,29823,TNPM015003,"4,4",LICEO ARTISTICO
57,29824,TNPM015003,"4,4",LICEO DELLE SCIENZE UMANE
58,29825,TN1E00300E,"4,4",SCUOLA PRIMARIA SACRO CUORE TRENTO
59,29826,TN1M006007,"4,4",SCUOLA SECONDARIA DI PRIMO GRADO SACRO CUORE TRENTO
60,29828,TN1M00500B,"4,5",SCUOLA SECONDARIA DI PRIMO GRADO MARIA AUSILIATRICE TRENTO
61,29830,TN1E00200P,"4,0",SCUOLA PRIMARIA SANTA CROCE MEZZANO
62,29831,TN1M001004,"4,0",SCUOLA SECONDARIA DI PRIMO GRADO SANTA CROCE MEZZANO
63,29833,TNTD18000T,"3,6",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
64,29834,TNTD180507,"3,6",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
65,29837,TNTD100001,"4,6",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
66,29838,TNTD10050A,"4,6",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
67,29839,TNTD100001,"4,6",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
68,29840,TNTD10050A,"4,6",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
69,29842,TNTD020009,"3,9",ISTITUTO TECNICO PER IL SETTORE ECONOMICO
70,29843,TNTD02050P,"3,9",ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE
71,29844,TNTD020009,"3,9",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
72,29845,TNTD02050P,"3,9",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
73,29853,TNTF02000G,"3,9",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
74,29854,TNTF020501,"3,9",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
75,29856,TNTF01301D,"3,9",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
76,29857,TNTF01351V,"3,9",ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE
77,29877,TNPC02000A,"4,2",LICEO CLASSICO
78,29878,TNPC02000A,"4,2",LICEO LINGUISTICO
79,29879,TNPC02000A,"4,2",LICEO SCIENTIFICO
80,29880,TNPC02000A,"4,2",LICEO SCIENTIFICO OPZIONE SCIENZE APPLICATE
81,29883,TNPM01000X,"3,9",LICEO DELLE SCIENZE UMANE
82,29884,TNPM01000X,"3,9",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
83,29885,TNPM010509,"3,9",LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE SERALE
84,29887,TNPM006019,"3,8",LICEO CLASSICO
85,29888,TNPM006019,"3,8",LICEO DELLE SCIENZE UMANE
