,id_comune,Comune,Grado,Materia,Anno,Punteggio_percentuale_medio,Dev_Std_Punteggio_Percentuale,Punteggio_wle_medio,Dev_Std_Punteggio_wle,perc_copertura_stu
186,22006,ARCO,2,Italian,2012-13,"63,37","16,97","207,90","39,29","91,82"
187,22139,PERGINE VALSUGANA,2,Italian,2012-13,"63,15","15,02","206,38","35,81","88,98"
188,22153,RIVA DEL GARDA,2,Italian,2012-13,"64,31","15,72","208,48","41,20","94,93"
189,22161,ROVERETO,2,Italian,2012-13,"60,59","16,49","201,07","38,06","90,73"
190,22205,TRENTO,2,Italian,2012-13,"59,01","20,40","200,51","51,69","91,50"
1100,22006,ARCO,5,Italian,2012-13,"75,17","14,24","199,68","34,48","88,14"
1101,22139,PERGINE VALSUGANA,5,Italian,2012-13,"76,06","14,14","204,17","35,66","89,33"
1102,22153,RIVA DEL GARDA,5,Italian,2012-13,"76,18","15,12","203,52","38,01","89,29"
1103,22161,ROVERETO,5,Italian,2012-13,"73,73","16,31","198,34","41,18","91,25"
1104,22205,TRENTO,5,Italian,2012-13,"76,19","14,71","204,40","38,55","87,61"
1978,22006,ARCO,8,Italian,2012-13,"70,91","13,83","196,11","36,21","91,67"
1979,22139,PERGINE VALSUGANA,8,Italian,2012-13,"73,41","13,22","200,71","35,06","87,83"
1980,22153,RIVA DEL GARDA,8,Italian,2012-13,"71,32","13,82","196,31","35,31","90,32"
1981,22161,ROVERETO,8,Italian,2012-13,"70,97","15,08","196,19","39,55","90,52"
1982,22205,TRENTO,8,Italian,2012-13,"72,42","14,19","199,38","37,80","88,67"
2645,22006,ARCO,10,Italian,2012-13,"53,29","18,75","174,05","44,20","78,57"
2646,22022,BORGO VALSUGANA,10,Italian,2012-13,"60,34","15,63","186,25","39,29","79,02"
2647,22061,CIVEZZANO,10,Italian,2012-13,"62,49","11,65","194,11","26,52","84,42"
2648,22062,CLES,10,Italian,2012-13,"67,62","13,67","206,42","33,66","93,04"
2649,22153,RIVA DEL GARDA,10,Italian,2012-13,"61,97","15,27","189,86","41,08","89,92"
2650,22161,ROVERETO,10,Italian,2012-13,"61,44","16,68","190,70","44,39","86,56"
2651,22167,SAN MICHELE ALL'ADIGE,10,Italian,2012-13,"67,17","12,73","205,45","31,27","84,36"
2652,22199,TIONE DI TRENTO,10,Italian,2012-13,"62,71","15,56","194,46","38,40","86,09"
2654,22205,TRENTO,10,Italian,2012-13,"63,63","16,63","195,68","42,85","81,86"
3298,22006,ARCO,2,Mathematics,2012-13,"61,45","18,63","213,27","37,27","91,82"
3299,22139,PERGINE VALSUGANA,2,Mathematics,2012-13,"58,51","19,05","208,58","37,01","89,76"
3300,22153,RIVA DEL GARDA,2,Mathematics,2012-13,"55,54","20,47","202,96","38,51","92,17"
3301,22161,ROVERETO,2,Mathematics,2012-13,"55,95","19,68","203,39","37,57","90,12"
3302,22205,TRENTO,2,Mathematics,2012-13,"55,75","21,87","200,74","48,29","90,00"
4213,22006,ARCO,5,Mathematics,2012-13,"60,57","16,70","211,27","35,38","89,69"
4214,22139,PERGINE VALSUGANA,5,Mathematics,2012-13,"64,15","17,31","218,61","38,19","88,54"
4215,22153,RIVA DEL GARDA,5,Mathematics,2012-13,"58,62","18,67","208,01","40,05","87,50"
4216,22161,ROVERETO,5,Mathematics,2012-13,"60,98","17,95","212,38","39,07","89,06"
4217,22205,TRENTO,5,Mathematics,2012-13,"59,02","18,31","208,02","40,10","87,61"
5091,22006,ARCO,8,Mathematics,2012-13,"49,39","18,05","193,46","38,78","91,67"
5092,22139,PERGINE VALSUGANA,8,Mathematics,2012-13,"54,76","17,93","207,37","38,13","87,83"
5093,22153,RIVA DEL GARDA,8,Mathematics,2012-13,"50,63","17,78","200,25","38,29","90,32"
5094,22161,ROVERETO,8,Mathematics,2012-13,"50,53","18,64","199,70","39,12","90,52"
5095,22205,TRENTO,8,Mathematics,2012-13,"53,80","18,95","205,02","39,84","88,67"
5761,22006,ARCO,10,Mathematics,2012-13,"36,77","14,82","187,53","32,29","76,98"
5762,22022,BORGO VALSUGANA,10,Mathematics,2012-13,"48,75","19,23","213,63","43,01","79,46"
5763,22061,CIVEZZANO,10,Mathematics,2012-13,"42,50","12,21","199,18","25,18","83,12"
5764,22062,CLES,10,Mathematics,2012-13,"50,12","17,57","216,20","38,09","93,26"
5765,22153,RIVA DEL GARDA,10,Mathematics,2012-13,"53,69","18,05","219,99","41,68","89,65"
5766,22161,ROVERETO,10,Mathematics,2012-13,"43,90","17,81","199,65","39,56","86,56"
5767,22167,SAN MICHELE ALL'ADIGE,10,Mathematics,2012-13,"53,58","16,67","219,45","36,17","85,31"
5768,22199,TIONE DI TRENTO,10,Mathematics,2012-13,"45,50","18,19","203,97","39,58","86,09"
5770,22205,TRENTO,10,Mathematics,2012-13,"48,61","18,22","211,80","39,99","82,00"
6649,22001,ALA,2,Italian,2013-14,"62,27","21,11","202,52","36,52","92,39"
6650,22006,ARCO,2,Italian,2013-14,"64,74","20,92","205,68","36,64","92,93"
