id_department,name
0,Department of Information Engineering and Computer Science
1,"Department of Civil, Environmental and Mechanical Engineering"
2,Department of Economics and Management
3,Department of Humanities
4,"Department of Cellular, Computational and Integrative Biology - CIBIO"
5,Department of Sociology and social research
6,Department of Psychology and Cognitive Science
7,Department of Mathematics
8,School of International Studies - SIS
9,Department of Industrial Engineering
10,Faculty of Law
11,Center for Mind/Brain Sciences - CIMeC
12,Centre Agriculture Food Environment - C3A
13,Department of Physics
14,CLA
