id_course,articulation,title
705a23393d744daf87a02320a163d72b,Databases,Informatica (L2)
e7778506513f4a4a8d4eb00438211a68,Analisi matematica 1,Ingegneria Civile (L2)
61e986d2108c48ae91f46a777f9e3e1d,Econometrics,Behavioural and Applied Economics - Economia Comportamentale e Applicata (LM)
0ba6c12cef154c20904673e6ee14eeb7,Agiografia II,Beni culturali (L2)
e0e56f7616074a65a13b431b09b13966,"Signal, Image and Video",Biologia Quantitativa e Computazionale (LM)
e7efb421b7d14c6a968e6ba5fdb825b7,Immagini di futuro,Previsione Sociale (M2)
5141f1110c9c4f79a17d59e947bda473,Filologia latina - LM,Filologia e critica letteraria (LM)
52029eafb61a473989c5b07758d53c1a,Technology Strategy,International Management - Management Internazionale (LM)
fc38f6ffe8324556a14da1202b0757e9,Advanced computing architectures,Ingegneria dell'Informazione e delle Comunicazioni (LM)
ae3911489bf84801bbe50244de588f42,Visual brain and design,Human-Computer Interaction - Interazione Persona-Macchina (LM)
1c0f7daab6a94379885d5e9c5262d895,Partial differential equations,MATEMATICA (LM)
7c448f80bfb54a16a143cb840d496f77,Utilizzo di nudging nelle scienze del comportamento,Interfacce e Tecnologie della Comunicazione (L2)
dd48494920dd46f3914875e601b33902,Biodiritto,Filosofia e linguaggi della modernità (LM)
b70243156f5d419cba0f7f828455429d,Elettrotecnica,Ingegneria Civile (L2)
af5737c486ed4a1ca21e446d8c4f4aaf,Logic networks,"Ingegneria Informatica, delle Comunicazioni ed Elettronica (L2)"
3f76f188fde24dee9e062bd3aca2bd24,Seminario: Ideare e sviluppare la tesi di laurea magistrale MOVASS,"Metodologia, Organizzazione e Valutazione dei Servizi Sociali (LM)"
08b28079f6fa49b3a53195a2d1cdd636,Misurazione e rendicontazione sociale,Management (LM)
225653db407043aea1bebf5c4c290be1,Economic Policy in Global Market,Economia e Management (L2)
2c180928d32c4fe5b0b9579abe11f800,The Legal Framework of EU Policies,EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI (LM)
644dae4b5e9b47d495ad7ea15efd1d86,Introduction to Computer and Network Security,"Ingegneria Informatica, delle Comunicazioni ed Elettronica (L2)"
93a5ee29a1c74520acb12aec4c6d7b49,Dispacciamento dell’energia,Ingegneria Energetica (LM)
2ccfd8ef17594178885ad6c5a000699b,Diritto pubblico,Gestione Aziendale (L2)
