id_course,course_name,degree_program
0,Databases,Informatica (L2)
1,Analisi matematica 1,Ingegneria Civile (L2)
2,Econometrics,Behavioural and Applied Economics - Economia Comportamentale e Applicata (LM)
3,Agiografia II,Beni culturali (L2)
4,"Signal, Image and Video",Biologia Quantitativa e Computazionale (LM)
5,Immagini di futuro,Previsione Sociale (M2)
6,Filologia latina - LM,Filologia e critica letteraria (LM)
7,Technology Strategy,International Management - Management Internazionale (LM)
8,Advanced computing architectures,Ingegneria dell'Informazione e delle Comunicazioni (LM)
9,Visual brain and design,Human-Computer Interaction - Interazione Persona-Macchina (LM)
10,Partial differential equations,MATEMATICA (LM)
11,Utilizzo di nudging nelle scienze del comportamento,Interfacce e Tecnologie della Comunicazione (L2)
12,Biodiritto,Filosofia e linguaggi della modernità (LM)
13,Elettrotecnica,Ingegneria Civile (L2)
14,Logic networks,"Ingegneria Informatica, delle Comunicazioni ed Elettronica (L2)"
15,Seminario: Ideare e sviluppare la tesi di laurea magistrale MOVASS,"Metodologia, Organizzazione e Valutazione dei Servizi Sociali (LM)"
16,Misurazione e rendicontazione sociale,Management (LM)
17,Economic Policy in Global Market,Economia e Management (L2)
18,The Legal Framework of EU Policies,EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI (LM)
19,Introduction to Computer and Network Security,"Ingegneria Informatica, delle Comunicazioni ed Elettronica (L2)"
20,Dispacciamento dell’energia,Ingegneria Energetica (LM)
21,Diritto pubblico,Gestione Aziendale (L2)
22,Ecoidraulica,Ingegneria per l'ambiente e il territorio (LM)
23,International business management,International Management - Management Internazionale (LM)
24,Interdisciplinary laboratory: Advanced metals,Materials and production Engineering - Ingegneria dei materiali e della produzione (LM)
25,Progettazione per comunità sostenibili,Global and Local Studies (LM)
26,Letteratura latina medievale I - LT,Studi storici e filologico-letterari (L2)
27,Fondamenti di elaborazione dei segnali,"Ingegneria Informatica, delle Comunicazioni ed Elettronica (L2)"
28,Elementi di geometria,Filosofia (L2)
29,Stochastic Models,Biologia Quantitativa e Computazionale (LM)
30,Clinica dei disturbi cognitivi e comportamentali nelle malattie degenerative cerebrali,Psicologia (LM)
31,Lingua inglese livello B1,Medicina e Chirurgia (LM6)
32,Analisi economico-finanziaria per le imprese turistiche,Management della sostenibilità e del turismo (LM)
33,International Economics (Basic),EUROPEAN AND INTERNATIONAL STUDIES - STUDI EUROPEI E INTERNAZIONALI (LM)
34,Fisica e modellistica dell'atmosfera,Ingegneria per l'ambiente e il territorio (LM)
