,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,miur_code
0,0,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,491.0,0.0,2020-21,TNIC81300R
1,1,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,221882902,Morning,0.0,284.0,0.0,2020-21,TNIC81300R
2,2,1640991603000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0160513643659711,623.0,10.0,2020-21,TNIS00100P
3,3,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO BRENTONICO,TNIC861006,2010,Morning,0.0,188.0,0.0,2020-21,TNIC861006
4,4,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO BRENTONICO,TNIC861006,2010,Morning,0.0,124.0,0.0,2020-21,TNIC861006
5,5,1640991604000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,,221999599,Morning,0.0277777777777777,396.0,11.0,2020-21,TNCF001001
6,6,1640991604000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VARONE DI RIVA DEL GARDA,,221539599,Morning,0.0589812332439678,373.0,22.0,2020-21,TNCF007001
7,7,1640991604000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - VILLAZZANO,,222059597,Morning,0.027027027027027,518.0,14.0,2020-21,TNCF008001
8,8,1640991604000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE OPERA ARMIDA BARELLI - ROVERETO,,221619598,Morning,0.0133928571428571,448.0,6.0,2020-21,TNCF005001
9,9,1640991604000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE PAVONIANO ARTIGIANELLI - TRENTO,,222059596,Morning,0.0095846645367412,313.0,3.0,2020-21,TNCF004001
10,10,1640991604000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE UPT - TRENTO,,222059599,Morning,0.0497237569060773,362.0,18.0,2020-21,TNCF003001
11,11,1640991604000,High School,4,"ISTITUTO DI ISTRUZIONE ""M. MARTINI"" - MEZZOLOMBARDO",TNIS00300A,221179501,Morning,0.0012048192771084,830.0,1.0,2020-21,TNIS00300A
12,12,1640991604000,High School,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""VITTORIA-BONPORTI-DEPERO""",TNSD02000X,222059516,Morning,0.007531380753138,1195.0,9.0,2020-21,TNSD02000X
13,13,1640991604000,High School,4,"ISTITUTO TECNICO ECONOMICO ""A. TAMBOSI"" - TRENTO",TNTD18000T,222059503,Morning,0.0093457943925233,856.0,8.0,2020-21,TNTD18000T
14,14,1640991603000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. PILATI"" - CLES",TNTD100001,220629501,Morning,0.0042796005706134,701.0,3.0,2020-21,TNTD100001
15,15,1640991604000,High School,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. E G. FONTANA"" - ROVERETO",TNTD020009,221619503,Morning,0.0141176470588235,425.0,6.0,2020-21,TNTD020009
16,16,1640991604000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""G. MARCONI"" - ROVERETO",TNTF02000G,221619502,Morning,0.0032467532467532,924.0,3.0,2020-21,TNTF02000G
17,17,1640991604000,High School,4,"ISTITUTO TECNICO TECNOLOGICO ""M. BUONARROTI"" - TRENTO",TNIS013001,222059502,Morning,0.0032320620555914,1547.0,5.0,2020-21,TNIS013001
18,18,1640991604000,High School,4,"LICEO ""A. ROSMINI"" - ROVERETO",TNPC02000A,221619505,Morning,0.0045787545787545,1092.0,5.0,2020-21,TNPC02000A
19,19,1640991604000,High School,4,"LICEO ""A. ROSMINI"" - TRENTO",TNPM01000X,222059508,Morning,0.0062893081761006,954.0,6.0,2020-21,TNPM01000X
20,20,1640991603000,High School,4,"LICEO ""B. RUSSELL"" - CLES",TNIS00600T,220629503,Morning,0.0057937427578215,863.0,5.0,2020-21,TNIS00600T
21,21,1640991604000,High School,4,"LICEO ""F. FILZI"" - ROVERETO",TNPM02000E,221619504,Morning,0.0044709388971684,671.0,3.0,2020-21,TNPM02000E
22,22,1640991604000,High School,4,"LICEO CLASSICO ""G. PRATI"" - TRENTO",TNPC04000G,222059512,Morning,0.0022321428571428,448.0,1.0,2020-21,TNPC04000G
23,23,1640991604000,High School,4,"LICEO SCIENTIFICO ""G. GALILEI"" - TRENTO",TNPS01000V,222059510,Morning,0.0,866.0,0.0,2020-21,TNPS01000V
24,24,1640991604000,High School,4,"LICEO SCIENTIFICO ""L. DA VINCI"" - TRENTO",TNPS02000D,222059511,Morning,0.0028011204481792,1428.0,4.0,2020-21,TNPS02000D
25,25,1640991604000,Primary School,2,SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,TNIC85000Q,221459701,Morning,0.0,487.0,0.0,2020-21,TNIC85000Q
26,26,1640991604000,Middle School,3,SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,TNIC85000Q,221459701,Morning,0.003076923076923,325.0,1.0,2020-21,TNIC85000Q
27,27,1640991604000,High School,4,SCUOLA LADINA DI FASSA - SCOLA LADINA DE FASCIA,TNIC85000Q,221459701,Morning,0.0068493150684931,438.0,3.0,2020-21,TNIC85000Q
28,28,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO TRENTO 6,TNIC85800A,222052906,Morning,0.0012062726176115,829.0,1.0,2020-21,TNIC85800A
29,29,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO TRENTO 6,TNIC85800A,222052906,Morning,0.0,447.0,0.0,2020-21,TNIC85800A
30,30,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO VAL RENDENA,TNIC83400T,221432901,Morning,0.0,454.0,0.0,2020-21,TNIC83400T
31,31,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO VAL RENDENA,TNIC83400T,221432901,Morning,0.0,327.0,0.0,2020-21,TNIC83400T
32,32,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,TNIC84400C,222152901,Morning,0.0,864.0,0.0,2020-21,TNIC84400C
33,33,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO VALLE DEI LAGHI - DRO,TNIC84400C,222152901,Morning,0.0,510.0,0.0,2020-21,TNIC84400C
34,34,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO VALLE DI LEDRO,TNIC80600N,221192901,Morning,0.0048309178743961,207.0,1.0,2020-21,TNIC80600N
35,35,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO VALLE DI LEDRO,TNIC80600N,221192901,Morning,0.0,157.0,0.0,2020-21,TNIC80600N
36,36,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO VIGOLO VATTARO,TNIC803006,222192901,Morning,0.0,274.0,0.0,2020-21,TNIC803006
37,37,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO VIGOLO VATTARO,TNIC803006,222192901,Morning,0.0,143.0,0.0,2020-21,TNIC803006
38,38,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO VILLA LAGARINA,TNIC846004,222222901,Morning,0.0,464.0,0.0,2020-21,TNIC846004
39,39,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO VILLA LAGARINA,TNIC846004,222222901,Morning,0.0036496350364963,274.0,1.0,2020-21,TNIC846004
40,40,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO CIVEZZANO,TNIC817004,220612901,Morning,0.0,370.0,0.0,2020-21,TNIC817004
41,41,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO CIVEZZANO,TNIC817004,220612901,Morning,0.0,200.0,0.0,2020-21,TNIC817004
42,42,1640991604000,Primary School,2,"ISTITUTO COMPRENSIVO DEL CHIESE ""DON L. MILANI""",TNIC838005,221832901,Morning,0.0,484.0,0.0,2020-21,TNIC838005
43,43,1640991604000,Middle School,3,"ISTITUTO COMPRENSIVO DEL CHIESE ""DON L. MILANI""",TNIC838005,221832901,Morning,0.0,347.0,0.0,2020-21,TNIC838005
44,44,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,TNIC804002,220872901,Morning,0.0,159.0,0.0,2020-21,TNIC804002
45,45,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO FOLGARIA - LAVARONE - LUSERNA,TNIC804002,220872901,Morning,0.0,109.0,0.0,2020-21,TNIC804002
46,46,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO FONDO - REVO',TNIC82800E,220882901,Morning,0.0,545.0,0.0,2020-21,TNIC82800E
47,47,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO FONDO - REVO',TNIC82800E,220882901,Morning,0.002906976744186,344.0,1.0,2020-21,TNIC82800E
48,48,1640991604000,Professional School,5,GIUSEPPE VERONESI - CENTRO DI ISTRUZIONE SCOLASTICA E DI FORMAZIONE PROFESSIONALE,,221619599,Morning,0.0501858736059479,538.0,27.0,2020-21,TNCF002001
49,49,1640991604000,High School,4,GIUSEPPE VERONESI - CENTRO DI ISTRUZIONE SCOLASTICA E DI FORMAZIONE PROFESSIONALE,,221619599,Morning,0.0,72.0,0.0,2020-21,TNCF002001
50,50,1640991603000,Primary School,2,"ISTITUTO COMPRENSIVO ALA  ""ANTONIO BRESCIANI""",TNIC84800Q,220012901,Morning,0.0046189376443418,433.0,2.0,2020-21,TNIC84800Q
51,51,1640991603000,Middle School,3,"ISTITUTO COMPRENSIVO ALA  ""ANTONIO BRESCIANI""",TNIC84800Q,220012901,Morning,0.0074074074074074,270.0,2.0,2020-21,TNIC84800Q
52,52,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO ALDENO MATTARELLO,TNIC82100Q,222052903,Morning,0.0,585.0,0.0,2020-21,TNIC82100Q
53,53,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ALDENO MATTARELLO,TNIC82100Q,222052903,Morning,0.0,346.0,0.0,2020-21,TNIC82100Q
54,54,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,TNIC832006,221142901,Morning,0.0,298.0,0.0,2020-21,TNIC832006
55,55,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ALTA VAL DI SOLE,TNIC832006,221142901,Morning,0.0,175.0,0.0,2020-21,TNIC832006
56,56,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO ALTA VALLAGARINA,TNIC86000A,221612906,Morning,0.0,398.0,0.0,2020-21,TNIC86000A
57,57,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO ALTA VALLAGARINA,TNIC86000A,221612906,Morning,0.0,215.0,0.0,2020-21,TNIC86000A
58,58,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',TNIC816008,220092901,Morning,0.0,327.0,0.0,2020-21,TNIC816008
59,59,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO ALTOPIANO DI PINE',TNIC816008,220092901,Morning,0.0052083333333333,192.0,1.0,2020-21,TNIC816008
60,60,1640991603000,Primary School,2,ISTITUTO COMPRENSIVO ARCO,TNIC840005,220062901,Morning,0.0,860.0,0.0,2020-21,TNIC840005
61,61,1640991603000,Middle School,3,ISTITUTO COMPRENSIVO ARCO,TNIC840005,220062901,Morning,0.0,474.0,0.0,2020-21,TNIC840005
62,62,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO PERGINE 1,TNIC81400L,221392901,Morning,0.0,581.0,0.0,2020-21,TNIC81400L
63,63,1640991604000,Middle School,3,ISTITUTO COMPRENSIVO PERGINE 1,TNIC81400L,221392901,Morning,0.0,374.0,0.0,2020-21,TNIC81400L
64,64,1640991604000,Primary School,2,"ISTITUTO COMPRENSIVO PERGINE 2 ""C. FREINET""",TNIC81500C,221392902,Morning,0.0,622.0,0.0,2020-21,TNIC81500C
65,65,1640991604000,Middle School,3,"ISTITUTO COMPRENSIVO PERGINE 2 ""C. FREINET""",TNIC81500C,221392902,Morning,0.0,386.0,0.0,2020-21,TNIC81500C
66,66,1640991604000,Primary School,2,ISTITUTO COMPRENSIVO PREDAZZO TESERO PANCHIA' ZIANO,TNIC808009,221472902,Morning,0.0,458.0,0.0,2020-21,TNIC808009
