data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,miur_code
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,0221882902,DIURNO,0.0,491.0,0.0,2020/21,TNIC81300R
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO CENTRO VALSUGANA,TNIC81300R,0221882902,DIURNO,0.0,284.0,0.0,2020/21,TNIC81300R
1640991603000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE",TNIS00100P,0220509501,DIURNO,0.016051364365971106,623.0,10.0,2020/21,TNIS00100P
1640991604000,PRIMARIA,2,ISTITUTO COMPRENSIVO BRENTONICO,TNIC861006,2010,DIURNO,0.0,188.0,0.0,2020/21,TNIC861006
1640991604000,SECONDARIA DI PRIMO GRADO,3,ISTITUTO COMPRENSIVO BRENTONICO,TNIC861006,2010,DIURNO,0.0,124.0,0.0,2020/21,TNIC861006
1640991604000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale ENAIP - Tione di Trento,,0221999599,DIURNO,0.027777777777777776,396.0,11.0,2020/21,TNCF001001
1640991604000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale ENAIP - Varone di Riva del Garda,,0221539599,DIURNO,0.058981233243967826,373.0,22.0,2020/21,TNCF007001
1640991604000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale ENAIP - Villazzano,,0222059597,DIURNO,0.02702702702702703,518.0,14.0,2020/21,TNCF008001
1640991604000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale Opera Armida Barelli - Rovereto,,0221619598,DIURNO,0.013392857142857142,448.0,6.0,2020/21,TNCF005001
1640991604000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale Pavoniano Artigianelli - Trento,,0222059596,DIURNO,0.009584664536741214,313.0,3.0,2020/21,TNCF004001
1640991604000,FORMAZIONE PROFESSIONALE,5,Centro Formazione Professionale UPT - Trento,,0222059599,DIURNO,0.049723756906077346,362.0,18.0,2020/21,TNCF003001
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO DI ISTRUZIONE ""M. Martini"" - MEZZOLOMBARDO",TNIS00300A,0221179501,DIURNO,0.001204819277108434,830.0,1.0,2020/21,TNIS00300A
1640991604000,SECONDARIA DI SECONDO GRADO,4,"LICEO DELLE ARTI DI TRENTO E ROVERETO ""Vittoria-Bonporti-Depero""",TNSD02000X,0222059516,DIURNO,0.007531380753138075,1195.0,9.0,2020/21,TNSD02000X
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO ""A. Tambosi"" - TRENTO",TNTD18000T,0222059503,DIURNO,0.009345794392523364,856.0,8.0,2020/21,TNTD18000T
1640991603000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""C.A. Pilati"" - CLES",TNTD100001,0220629501,DIURNO,0.00427960057061341,701.0,3.0,2020/21,TNTD100001
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO ECONOMICO E TECNOLOGICO ""F. e G. Fontana"" - ROVERETO",TNTD020009,0221619503,DIURNO,0.01411764705882353,425.0,6.0,2020/21,TNTD020009
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""G. Marconi"" - ROVERETO",TNTF02000G,0221619502,DIURNO,0.003246753246753247,924.0,3.0,2020/21,TNTF02000G
1640991604000,SECONDARIA DI SECONDO GRADO,4,"ISTITUTO TECNICO TECNOLOGICO ""M. Buonarroti"" - TRENTO",TNIS013001,0222059502,DIURNO,0.003232062055591467,1547.0,5.0,2020/21,TNIS013001
