,Unnamed: 0,data_inserimento,ord_scol_cap,ord_scol_ord,strutt_liv_1_cap,strutt_liv_1_cod_miur,strutt_liv_1_cod_pat,tipo_ora_id,valore,valore_d,valore_n,anno_scol,anno_corso,miur_code
0,0,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0176991150442477,113.0,2.0,2020-21,1,TNIS00100P
1,1,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0264900662251655,151.0,4.0,2020-21,2,TNIS00100P
2,2,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.0084745762711864,118.0,1.0,2020-21,3,TNIS00100P
3,3,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.008695652173913,115.0,1.0,2020-21,4,TNIS00100P
4,4,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Morning,0.008130081300813,123.0,1.0,2020-21,5,TNIS00100P
5,5,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.5217391304347826,23.0,12.0,2020-21,3,TNIS00100P
6,6,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.0,18.0,0.0,2020-21,4,TNIS00100P
7,7,1640991601000,High School,4,"ISTITUTO DI ISTRUZIONE ""LA ROSA BIANCA"" - CAVALESE",TNIS00100P,220509501,Evening,0.0,7.0,0.0,2020-21,5,TNIS00100P
8,8,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,,221999599,Morning,0.0266666666666666,75.0,2.0,2020-21,1,TNCF001001
9,9,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,,221999599,Morning,0.0336134453781512,119.0,4.0,2020-21,2,TNCF001001
10,10,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,,221999599,Morning,0.0673076923076923,104.0,7.0,2020-21,3,TNCF001001
11,11,1640991602000,Professional School,5,CENTRO FORMAZIONE PROFESSIONALE ENAIP - TIONE DI TRENTO,,221999599,Morning,0.0138888888888888,72.0,1.0,2020-21,4,TNCF001001
