,ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code
0,Primary School,Morning,5,Amessi 2020/21,100.0,1,TNIC81300R
1,Primary School,Morning,5,Amessi 2020/21,100.0,2,TNIC81300R
2,Primary School,Morning,5,Amessi 2020/21,100.0,3,TNIC81300R
3,Primary School,Morning,5,Amessi 2020/21,100.0,4,TNIC81300R
4,Primary School,Morning,5,Amessi 2020/21,99.1304347826087,5,TNIC81300R
5,Primary School,Morning,5,Amessi 2021/22,100.0,1,TNIC81300R
6,Primary School,Morning,5,Amessi 2021/22,98.79518072289156,2,TNIC81300R
7,Primary School,Morning,5,Amessi 2021/22,100.0,3,TNIC81300R
8,Primary School,Morning,5,Amessi 2021/22,100.0,4,TNIC81300R
9,Primary School,Morning,5,Amessi 2021/22,100.0,5,TNIC81300R
10,Primary School,Morning,5,Amessi 2019/20,100.0,1,TNIC81300R
11,Primary School,Morning,5,Amessi 2019/20,100.0,2,TNIC81300R
12,Primary School,Morning,5,Amessi 2019/20,100.0,3,TNIC81300R
13,Primary School,Morning,5,Amessi 2019/20,100.0,4,TNIC81300R
14,Primary School,Morning,5,Amessi 2019/20,99.01960784313728,5,TNIC81300R
15,Middle School,Morning,3,Amessi 2020/21,99.0,1,TNIC81300R
16,Middle School,Morning,3,Amessi 2020/21,100.0,2,TNIC81300R
17,Middle School,Morning,3,Amessi 2020/21,100.0,3,TNIC81300R
18,Middle School,Morning,3,Amessi 2021/22,99.0909090909091,1,TNIC81300R
19,Middle School,Morning,3,Amessi 2021/22,99.0,2,TNIC81300R
20,Middle School,Morning,3,Amessi 2021/22,98.05825242718448,3,TNIC81300R
21,Middle School,Morning,3,Amessi 2019/20,100.0,1,TNIC81300R
22,Middle School,Morning,3,Amessi 2019/20,100.0,2,TNIC81300R
23,Middle School,Morning,3,Amessi 2019/20,100.0,3,TNIC81300R
24,Highschool,Morning,5,Amessi 2020/21,91.1504424778761,1,TNIS00100P
25,Highschool,Morning,5,Amessi 2020/21,88.35616438356165,2,TNIS00100P
26,Highschool,Morning,5,Amessi 2020/21,93.04347826086956,3,TNIS00100P
27,Highschool,Morning,5,Amessi 2020/21,95.28301886792453,4,TNIS00100P
28,Highschool,Morning,5,Amessi 2020/21,96.7479674796748,5,TNIS00100P
29,Highschool,Morning,5,Amessi 2021/22,86.48648648648648,1,TNIS00100P
30,Highschool,Morning,5,Amessi 2021/22,91.07142857142856,2,TNIS00100P
31,Highschool,Morning,5,Amessi 2021/22,88.80597014925374,3,TNIS00100P
32,Highschool,Morning,5,Amessi 2021/22,93.69369369369367,4,TNIS00100P
33,Highschool,Morning,5,Amessi 2021/22,98.09523809523807,5,TNIS00100P
34,Highschool,Morning,5,Amessi 2019/20,100.0,1,TNIS00100P
35,Highschool,Morning,5,Amessi 2019/20,99.19354838709675,2,TNIS00100P
36,Highschool,Morning,5,Amessi 2019/20,99.1304347826087,3,TNIS00100P
