,Unnamed: 0,ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code
0,0,Primary School,Morning,5,2020-21,100.0,1,TNIC81300R
1,1,Primary School,Morning,5,2020-21,100.0,2,TNIC81300R
2,2,Primary School,Morning,5,2020-21,100.0,3,TNIC81300R
3,3,Primary School,Morning,5,2020-21,100.0,4,TNIC81300R
4,4,Primary School,Morning,5,2020-21,99.1304347826087,5,TNIC81300R
5,5,Primary School,Morning,5,2021-22,100.0,1,TNIC81300R
6,6,Primary School,Morning,5,2021-22,98.79518072289156,2,TNIC81300R
7,7,Primary School,Morning,5,2021-22,100.0,3,TNIC81300R
8,8,Primary School,Morning,5,2021-22,100.0,4,TNIC81300R
9,9,Primary School,Morning,5,2021-22,100.0,5,TNIC81300R
10,10,Primary School,Morning,5,2019-20,100.0,1,TNIC81300R
11,11,Primary School,Morning,5,2019-20,100.0,2,TNIC81300R
12,12,Primary School,Morning,5,2019-20,100.0,3,TNIC81300R
13,13,Primary School,Morning,5,2019-20,100.0,4,TNIC81300R
14,14,Primary School,Morning,5,2019-20,99.01960784313728,5,TNIC81300R
15,15,Middle School,Morning,3,2020-21,99.0,1,TNIC81300R
16,16,Middle School,Morning,3,2020-21,100.0,2,TNIC81300R
17,17,Middle School,Morning,3,2020-21,100.0,3,TNIC81300R
18,18,Middle School,Morning,3,2021-22,99.0909090909091,1,TNIC81300R
19,19,Middle School,Morning,3,2021-22,99.0,2,TNIC81300R
20,20,Middle School,Morning,3,2021-22,98.05825242718448,3,TNIC81300R
21,21,Middle School,Morning,3,2019-20,100.0,1,TNIC81300R
22,22,Middle School,Morning,3,2019-20,100.0,2,TNIC81300R
23,23,Middle School,Morning,3,2019-20,100.0,3,TNIC81300R
24,24,High School,Morning,5,2020-21,91.1504424778761,1,TNIS00100P
25,25,High School,Morning,5,2020-21,88.35616438356165,2,TNIS00100P
26,26,High School,Morning,5,2020-21,93.04347826086956,3,TNIS00100P
27,27,High School,Morning,5,2020-21,95.28301886792453,4,TNIS00100P
28,28,High School,Morning,5,2020-21,96.7479674796748,5,TNIS00100P
29,29,High School,Morning,5,2021-22,86.48648648648648,1,TNIS00100P
30,30,High School,Morning,5,2021-22,91.07142857142856,2,TNIS00100P
31,31,High School,Morning,5,2021-22,88.80597014925374,3,TNIS00100P
32,32,High School,Morning,5,2021-22,93.69369369369367,4,TNIS00100P
33,33,High School,Morning,5,2021-22,98.09523809523807,5,TNIS00100P
34,34,High School,Morning,5,2019-20,100.0,1,TNIS00100P
35,35,High School,Morning,5,2019-20,99.19354838709675,2,TNIS00100P
36,36,High School,Morning,5,2019-20,99.1304347826087,3,TNIS00100P
37,37,High School,Morning,5,2019-20,99.2,4,TNIS00100P
38,38,High School,Morning,5,2019-20,100.0,5,TNIS00100P
39,39,Middle School,Evening,3,2020-21,0.0,1,TNIS00100P
40,40,Middle School,Evening,3,2020-21,0.0,2,TNIS00100P
41,41,Middle School,Evening,3,2020-21,25.0,3,TNIS00100P
42,42,Middle School,Evening,3,2021-22,0.0,1,TNIS00100P
43,43,Middle School,Evening,3,2021-22,0.0,2,TNIS00100P
44,44,Middle School,Evening,3,2021-22,33.33333333333333,3,TNIS00100P
45,45,Middle School,Evening,3,2019-20,0.0,1,TNIS00100P
46,46,Middle School,Evening,3,2019-20,0.0,2,TNIS00100P
47,47,Middle School,Evening,3,2019-20,16.666666666666664,3,TNIS00100P
48,48,High School,Evening,5,2020-21,0.0,1,TNIS00100P
49,49,High School,Evening,5,2020-21,0.0,2,TNIS00100P
50,50,High School,Evening,5,2020-21,0.0,3,TNIS00100P
51,51,High School,Evening,5,2020-21,0.0,4,TNIS00100P
52,52,High School,Evening,5,2020-21,57.14285714285714,5,TNIS00100P
53,53,High School,Evening,5,2021-22,0.0,1,TNIS00100P
54,54,High School,Evening,5,2021-22,0.0,2,TNIS00100P
55,55,High School,Evening,5,2021-22,18.181818181818183,3,TNIS00100P
56,56,High School,Evening,5,2021-22,40.909090909090914,4,TNIS00100P
57,57,High School,Evening,5,2021-22,70.0,5,TNIS00100P
58,58,High School,Evening,5,2019-20,0.0,1,TNIS00100P
59,59,High School,Evening,5,2019-20,0.0,2,TNIS00100P
60,60,High School,Evening,5,2019-20,75.86206896551724,3,TNIS00100P
61,61,High School,Evening,5,2019-20,66.66666666666666,4,TNIS00100P
62,62,High School,Evening,5,2019-20,92.85714285714286,5,TNIS00100P
63,63,Primary School,Morning,5,2020-21,100.0,1,TNIC861006
64,64,Primary School,Morning,5,2020-21,100.0,2,TNIC861006
65,65,Primary School,Morning,5,2020-21,100.0,3,TNIC861006
66,66,Primary School,Morning,5,2020-21,100.0,4,TNIC861006
67,67,Primary School,Morning,5,2020-21,100.0,5,TNIC861006
68,68,Primary School,Morning,5,2021-22,100.0,1,TNIC861006
69,69,Primary School,Morning,5,2021-22,100.0,2,TNIC861006
70,70,Primary School,Morning,5,2021-22,100.0,3,TNIC861006
71,71,Primary School,Morning,5,2021-22,100.0,4,TNIC861006
72,72,Primary School,Morning,5,2021-22,100.0,5,TNIC861006
73,73,Primary School,Morning,5,2019-20,0.0,1,TNIC861006
74,74,Primary School,Morning,5,2019-20,0.0,2,TNIC861006
75,75,Primary School,Morning,5,2019-20,0.0,3,TNIC861006
76,76,Primary School,Morning,5,2019-20,0.0,4,TNIC861006
77,77,Primary School,Morning,5,2019-20,0.0,5,TNIC861006
78,78,Middle School,Morning,3,2020-21,100.0,1,TNIC861006
79,79,Middle School,Morning,3,2020-21,97.2972972972973,2,TNIC861006
80,80,Middle School,Morning,3,2020-21,100.0,3,TNIC861006
81,81,Middle School,Morning,3,2021-22,100.0,1,TNIC861006
82,82,Middle School,Morning,3,2021-22,97.87234042553192,2,TNIC861006
