ord_scol,tipo_orario,num_anni,etichetta,percentuale_ammessi,anno,miur_code
Primaria,Diurno,5,Amessi 2020/21,100.0,1,TNIC81300R
Primaria,Diurno,5,Amessi 2020/21,100.0,2,TNIC81300R
Primaria,Diurno,5,Amessi 2020/21,100.0,3,TNIC81300R
Primaria,Diurno,5,Amessi 2020/21,100.0,4,TNIC81300R
Primaria,Diurno,5,Amessi 2020/21,99.1304347826087,5,TNIC81300R
Primaria,Diurno,5,Amessi 2021/22,100.0,1,TNIC81300R
Primaria,Diurno,5,Amessi 2021/22,98.79518072289156,2,TNIC81300R
Primaria,Diurno,5,Amessi 2021/22,100.0,3,TNIC81300R
Primaria,Diurno,5,Amessi 2021/22,100.0,4,TNIC81300R
Primaria,Diurno,5,Amessi 2021/22,100.0,5,TNIC81300R
Primaria,Diurno,5,Amessi 2019/20,100.0,1,TNIC81300R
Primaria,Diurno,5,Amessi 2019/20,100.0,2,TNIC81300R
Primaria,Diurno,5,Amessi 2019/20,100.0,3,TNIC81300R
Primaria,Diurno,5,Amessi 2019/20,100.0,4,TNIC81300R
Primaria,Diurno,5,Amessi 2019/20,99.01960784313727,5,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2020/21,99.0,1,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2020/21,100.0,2,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2020/21,100.0,3,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2021/22,99.0909090909091,1,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2021/22,99.0,2,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2021/22,98.05825242718447,3,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2019/20,100.0,1,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2019/20,100.0,2,TNIC81300R
Secondaria di primo grado,Diurno,3,Amessi 2019/20,100.0,3,TNIC81300R
Secondaria di secondo grado,Diurno,5,Amessi 2020/21,91.1504424778761,1,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2020/21,88.35616438356165,2,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2020/21,93.04347826086956,3,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2020/21,95.28301886792453,4,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2020/21,96.7479674796748,5,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2021/22,86.48648648648648,1,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2021/22,91.07142857142857,2,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2021/22,88.80597014925374,3,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2021/22,93.69369369369369,4,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2021/22,98.09523809523809,5,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2019/20,100.0,1,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2019/20,99.19354838709677,2,TNIS00100P
Secondaria di secondo grado,Diurno,5,Amessi 2019/20,99.1304347826087,3,TNIS00100P
