,tipo_instituto,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto,id_istituto,id_number
0,Istituzione scolastica e formativa,"Via Don Meggio,
    
2/A -
    
38050    
RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNIC81300R,9,"

                
ISTITUTO COMPRENSIVO CENTRO VALSUGANA
            
",/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
1,Istituzione scolastica e formativa,"Via Gandhi,
    
1 -
    
38033    
CAVALESE",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNIS00100P,9,"

                
ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE
            
",/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
2,Istituzione scolastica e formativa,"Via Calzolari - Localita Fontana,
    
2 -
    
38060    
BRENTONICO",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,,TNIC861006,2,"

                
ISTITUTO COMPRENSIVO BRENTONICO
            
",/Scuole/ISTITUTO-COMPRENSIVO-BRENTONICO,2
3,Istituzione scolastica e formativa,"Via Conci,
    
86 -
    
38123    
TRENTO",+39 0461 930658,,associazione@pec.scuolasteiner-trento.it,,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,,2,"

                
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO
            
",/Scuole/ASSOCIAZIONE-PEDAGOGICA-STEINERIANA-TRENTO2,3
4,Scuola dell'infanzia,"Via Stazione Mori,
    
10 -
    
38068    
ROVERETO",,,,,,,,1,"

                
ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO
            
",/Scuole/ASSOCIAZIONE-RUDOLF-STEINER-PER-LA-PEDAGOGIA-APS-ROVERETO,4
5,Istituzione scolastica e formativa,"Via Monsignor  Endrici,
    
23 -
    
38122    
TRENTO",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,,7,"

                
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO
            
",/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5
6,Istituzione scolastica e formativa,"Corso Bettini,
    
71 -
    
38068    
ROVERETO",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,,3,"

                
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO
            
",/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6
7,Istituzione scolastica e formativa,"Via Della Saluga,
    
7 -
    
38121    
TRENTO",+39 0461 080041,,cooperativasacrafamiglia@pec.it,segreteria@sacrafamigliatrento.it,segreteria@sacrafamigliatrento.it,http://www.sacrafamigliatrento.it,,1,"

                
COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS
            
",/Scuole/COOPERATIVA-SOCIALE-SACRA-FAMIGLIA-ONLUS2,7
8,Istituzione scolastica e formativa,"Via Grazioli,
    
2 -
    
38122    
TRENTO",+39 0461 260454,+39 0461 267864,canossatrento@pec.it,direzione@centromoda.tn.it,didattica@centromoda.tn.it,http://www.centromoda.tn.it,,1,"

                
Centro Formazione Professionale ""Centromoda Canossa"" - Trento
            
",/Scuole/Centro-Formazione-Professionale-Centromoda-Canossa-Trento3,8
9,Istituzione scolastica e formativa,"Via Gazzoletti,
    
8 -
    
38062    
ARCO",+39 0464 516465,+39 0464 516497,cfp.arco@pec.it,,cfp.arco@enaip.tn.it,https://arco.enaiptrentino.it,,1,"

                
Centro Formazione Professionale ENAIP - Arco
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Arco2,9
10,Circolo di coordinamento pedagogico,"Viale Dante,
    
5 -
    
38057    
PERGINE VALSUGANA",+39 0461 493491,+39 0461 493495,circolo.coordinamento01@provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,13,"

                
Circolo di coordinamento n. 1
            
",/Scuole/Circolo-di-coordinamento-n.-15,10
