coordinatore_pedagogico,presidente_ente_gestore,sorastant,tipo_instituto,dirigente_scolastico,direttore,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto
,,,Istituzione scolastica e formativa,BRUNO GENTILINI,,"Via Don Meggio,
    
2/A -
    
38050    
RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNIC81300R,9,"

                
ISTITUTO COMPRENSIVO CENTRO VALSUGANA
            
"
,,,Istituzione scolastica e formativa,MARCO FELICETTI,,"Via Gandhi,
    
1 -
    
38033    
CAVALESE",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNIS00100P,9,"

                
ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE
            
"
,,,Istituzione scolastica e formativa,ENRICA RIGOTTI,,"Via Calzolari - Localita Fontana,
    
2 -
    
38060    
BRENTONICO",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,,TNIC861006,2,"

                
ISTITUTO COMPRENSIVO BRENTONICO
            
"
,,,Istituzione scolastica e formativa,CARLO MUSIO,,"Via Conci,
    
86 -
    
38123    
TRENTO",+39 0461 930658,,associazione@pec.scuolasteiner-trento.it,,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,,2,"

                
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO
            
"
,LOREDANA FRISINGHELLI,,Scuola dell'infanzia,,,"Via Stazione Mori,
    
10 -
    
38068    
ROVERETO",,,,,,,,1,"

                
ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO
            
"
,,,Istituzione scolastica e formativa,CHRISTIAN BONAZZA,BRUNO DAVES,"Via Monsignor  Endrici,
    
23 -
    
38122    
TRENTO",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,,7,"

                
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO
            
"
,,,Istituzione scolastica e formativa,CHRISTIAN BONAZZA,BRUNO DAVES,"Corso Bettini,
    
71 -
    
38068    
ROVERETO",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,,3,"

                
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO
            
"
,,,Istituzione scolastica e formativa,MARCELLO SOTTOPIETRA,,"Via Della Saluga,
    
7 -
    
38121    
TRENTO",+39 0461 080041,,cooperativasacrafamiglia@pec.it,segreteria@sacrafamigliatrento.it,segreteria@sacrafamigliatrento.it,http://www.sacrafamigliatrento.it,,1,"

                
COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS
            
"
,,,Istituzione scolastica e formativa,,MICHELE FILIPPINI,"Via Grazioli,
    
2 -
    
38122    
TRENTO",+39 0461 260454,+39 0461 267864,canossatrento@pec.it,direzione@centromoda.tn.it,didattica@centromoda.tn.it,http://www.centromoda.tn.it,,1,"

                
Centro Formazione Professionale ""Centromoda Canossa"" - Trento
            
"
,,,Istituzione scolastica e formativa,,DIEGO FREO,"Via Gazzoletti,
    
8 -
    
38062    
ARCO",+39 0464 516465,+39 0464 516497,cfp.arco@pec.it,,cfp.arco@enaip.tn.it,http://www.enaiptrentino.it,,1,"

                
Centro Formazione Professionale ENAIP - Arco
            
"
GIULIANA BATTISTI,,,Circolo di coordinamento pedagogico,,,"Viale Dante,
    
5 -
    
38057    
PERGINE VALSUGANA",+39 0461 493491,+39 0461 493495,circolo.coordinamento01@provincia.tn.it,,circolo.coordinamento01@provincia.tn.it,,,13,"

                
Circolo di coordinamento n. 1
            
"
CATERINA FRUET,,,Circolo di coordinamento pedagogico,,,"Via Temanza,
    
4 -
    
38051    
BORGO VALSUGANA",+39 0461 491980,+39 0461 491976,circolo.coordinamento02@provincia.tn.it,,circolo.coordinamento02@provincia.tn.it,,,12,"

                
Circolo di coordinamento n. 2
            
"
RITA FERENZENA,,,Circolo di coordinamento pedagogico,,,"Via Gilli,
    
3 -
    
38121    
TRENTO",+39 0461 496954,+39 0461 496950,circolo.coordinamento04@provincia.tn.it,,circolo.coordinamento04@provincia.tn.it,,,6,"

                
Circolo di coordinamento n. 4
            
"
,,,Istituzione scolastica e formativa,,LUCA BRANZ,"Via Mitterer,
    
10 -
    
38023    
CLES",+39 0463 421362,+39 0463 421606,cfp.cles@pec.it,,cfp.cles@enaip.tn.it,http://www.enaiptrentino.it,,1,"

                
Centro Formazione Professionale ENAIP - Cles
            
"
,,,Istituzione scolastica e formativa,,DINO MOSER,"Via Caltrezza,
    
13 -
    
38038    
TESERO",+39 0462 813133,+39 0462 813145,cfp.tesero@pec.it,,cfp.tesero@enaip.tn.it,http://www.enaiptrentino.it,,2,"

                
Centro Formazione Professionale ENAIP - Tesero
            
"
,,,Istituzione scolastica e formativa,,EMILIO SALVATERRA,"Via Durone,
    
57 -
    
38079    
TIONE DI TRENTO",+39 0465 321316,+39 0465 322091,cfp.tione@pec.it,,cfp.tione@enaip.tn.it,http://www.enaiptrentino.it,TNCF001001,2,"

                
Centro Formazione Professionale ENAIP - Tione di Trento
            
"
,,,Istituzione scolastica e formativa,,MASSIMO MALOSSINI,"Rione Europa,
    
3 -
    
38066    
RIVA DEL GARDA",+39 0464 521300,+39 0464 521553,cfp.rivadelgarda@pec.it,,cfp.rivadelgarda@enaip.tn.it,http://www.enaiptrentino.it,TNCF007001,1,"

                
Centro Formazione Professionale ENAIP - Varone di Riva del Garda
            
"
,,,Istituzione scolastica e formativa,,PAOLA COCCIA,"Via Asiago,
    
14 -
    
38123    
TRENTO",+39 0461 920386,+39 0461 914935,cfp.villazzano@pec.it,,cfp.villazzano@enaip.tn.it,http://www.enaiptrentino.it,TNCF008001,2,"

                
Centro Formazione Professionale ENAIP - Villazzano
            
"
