coordinatore_pedagogico,presidente_ente_gestore,sorastant,tipo_instituto,dirigente_scolastico,direttore,indirizzo,telefono,fax,email_istituto,email_dirigenza,email_segreteria,sito_web,miur_code,numero_plessi_scuole,nome_istituto,id_istituto,id_number
nan,nan,nan,Istituzione scolastica e formativa,BRUNO GENTILINI,nan,"Via Don Meggio,
    
2/A -
    
38050    
RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNIC81300R,9,"

                
ISTITUTO COMPRENSIVO CENTRO VALSUGANA
            
",/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
nan,nan,nan,Istituzione scolastica e formativa,MARCO FELICETTI,nan,"Via Gandhi,
    
1 -
    
38033    
CAVALESE",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNIS00100P,9,"

                
ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE
            
",/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
nan,nan,nan,Istituzione scolastica e formativa,ENRICA RIGOTTI,nan,"Via Calzolari - Localita Fontana,
    
2 -
    
38060    
BRENTONICO",+39 0464 395189,+39 0464 392710,ic.brentonico@pec.provincia.tn.it,dir.ic.brentonico@scuole.provincia.tn.it,segr.ic.brentonico@scuole.provincia.tn.it,nan,TNIC861006,2,"

                
ISTITUTO COMPRENSIVO BRENTONICO
            
",/Scuole/ISTITUTO-COMPRENSIVO-BRENTONICO,2
nan,nan,nan,Istituzione scolastica e formativa,CARLO MUSIO,nan,"Via Conci,
    
86 -
    
38123    
TRENTO",+39 0461 930658,nan,associazione@pec.scuolasteiner-trento.it,nan,segreteria@scuolasteiner-trento.it,http://www.scuolasteiner-trento.it,nan,2,"

                
ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO
            
",/Scuole/ASSOCIAZIONE-PEDAGOGICA-STEINERIANA-TRENTO2,3
nan,LOREDANA FRISINGHELLI,nan,Scuola dell'infanzia,nan,nan,"Via Stazione Mori,
    
10 -
    
38068    
ROVERETO",nan,nan,nan,nan,nan,nan,nan,1,"

                
ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO
            
",/Scuole/ASSOCIAZIONE-RUDOLF-STEINER-PER-LA-PEDAGOGIA-APS-ROVERETO,4
nan,nan,nan,Istituzione scolastica e formativa,CHRISTIAN BONAZZA,BRUNO DAVES,"Via Monsignor  Endrici,
    
23 -
    
38122    
TRENTO",+39 0461 1731200,+39 0461 1731288,collegioarcivescovile@pec.it,collegioarcivescovile@arcivescoviletrento.it,didatticatn@arcivescoviletrento.it,http://www.arcivescoviletrento.it,nan,7,"

                
COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO
            
",/Scuole/COLLEGIO-ARCIVESCOVILE-C.ENDRICI-TRENTO2,5
nan,nan,nan,Istituzione scolastica e formativa,CHRISTIAN BONAZZA,BRUNO DAVES,"Corso Bettini,
    
71 -
    
38068    
ROVERETO",+39 0464 406000,+39 0464 406077,collegioarcivescovile@pec.it,dameinglesi@arcivescoviletrento.it,lia@arcivescoviletrento.it,http://www.arcivescoviletrento.it,nan,3,"

                
COLLEGIO ARCIVESCOVILE DAME INGLESI - ROVERETO
            
",/Scuole/COLLEGIO-ARCIVESCOVILE-DAME-INGLESI-ROVERETO2,6
nan,nan,nan,Istituzione scolastica e formativa,MARCELLO SOTTOPIETRA,nan,"Via Della Saluga,
    
7 -
    
38121    
TRENTO",+39 0461 080041,nan,cooperativasacrafamiglia@pec.it,segreteria@sacrafamigliatrento.it,segreteria@sacrafamigliatrento.it,http://www.sacrafamigliatrento.it,nan,1,"

                
COOPERATIVA SOCIALE SACRA FAMIGLIA ONLUS
            
",/Scuole/COOPERATIVA-SOCIALE-SACRA-FAMIGLIA-ONLUS2,7
nan,nan,nan,Istituzione scolastica e formativa,nan,MICHELE FILIPPINI,"Via Grazioli,
    
2 -
    
38122    
TRENTO",+39 0461 260454,+39 0461 267864,canossatrento@pec.it,direzione@centromoda.tn.it,didattica@centromoda.tn.it,http://www.centromoda.tn.it,nan,1,"

                
Centro Formazione Professionale ""Centromoda Canossa"" - Trento
            
",/Scuole/Centro-Formazione-Professionale-Centromoda-Canossa-Trento3,8
nan,nan,nan,Istituzione scolastica e formativa,nan,DIEGO FREO,"Via Gazzoletti,
    
8 -
    
38062    
ARCO",+39 0464 516465,+39 0464 516497,cfp.arco@pec.it,nan,cfp.arco@enaip.tn.it,https://arco.enaiptrentino.it,nan,1,"

                
Centro Formazione Professionale ENAIP - Arco
            
",/Scuole/Centro-Formazione-Professionale-ENAIP-Arco2,9
