,nome,cognome,titolo,id_istituto
0,BRUNO,GENTILINI,Principal,0
1,MARCO,FELICETTI,Principal,1
2,ENRICA,RIGOTTI,Principal,2
3,CARLO,MUSIO,Principal,3
4,LOREDANA,FRISINGHELLI,President of Managing Body,4
5,CHRISTIAN,BONAZZA,Principal,5
6,BRUNO,DAVES,Director,5
7,CHRISTIAN,BONAZZA,Principal,6
8,BRUNO,DAVES,Director,6
9,MARCELLO,SOTTOPIETRA,Principal,7
10,MICHELE,FILIPPINI,Director,8
11,DIEGO,FREO,Director,9
12,GIULIANA,BATTISTI,Pedagogican Coordinator,10
13,CATERINA,FRUET,Pedagogican Coordinator,11
14,RITA,FERENZENA,Pedagogican Coordinator,12
15,LUCA,BRANZ,Director,13
16,DINO,MOSER,Director,14
17,EMILIO,SALVATERRA,Director,15
18,MASSIMO,MALOSSINI,Director,16
19,PAOLA,COCCIA,Director,17
20,BERNARDO,ZANONER,Principal,18
21,CHIARA,BERTOLINI,Director,18
22,BERNARDO,ZANONER,Principal,19
23,ANNA,PRATI,Director,19
24,ERIK,GADOTTI,Principal,20
25,CLAUDIO,NICOLUSSI,Director,21
26,WALTER,IORI,Director,22
27,WALTER,IORI,Director,23
28,PAOLO,ZANLUCCHI,Director,24
29,WALTER,IORI,Director,25
30,FAUSTO,ECCHER,Director,26
31,SARA,DE ZOLT,Pedagogican Coordinator,27
32,ELENA,RICCI,Pedagogican Coordinator,28
33,CARMEN,FATTORI,Pedagogican Coordinator,29
34,IVANA,LEONARDELLI,Pedagogican Coordinator,30
35,SILVANO,MEDVES,Pedagogican Coordinator,31
36,VALENTINA,ZANOLLA,Principal,32
37,DANIELA,SIMONCELLI,Principal,33
38,LORENZA,MORELLI,Principal,34
39,PAOLO,MUNARETTO,Principal,35
40,NICOLA,TOFFANELLO,Principal,36
41,ANDREA,BEZZI,Principal,37
42,ALFREDO,ROMANTINI,Principal,38
43,GIUSEPPE,SANTOLI,Principal,39
44,GIUSEPPE,RIZZA,Principal,40
45,LAURA,ZOLLER,Principal,41
46,PAOLO,PENDENZA,Principal,42
47,STEFANO,KIRCHNER,Principal,43
48,TERESA,PERITI,Principal,44
49,MANUELA,BROZ,Principal,45
50,PAOLA,BARATTER,Principal,46
51,ELENA,RUGGIERI,Principal,47
52,TIZIANA,ROSSI,Principal,48
53,FEDERICO,CORRADINI,SORASTANT,49
54,FEDERICO,CORRADINI,Principal,49
55,GIOVANNI,SCALFI,Principal,50
56,CLAUDIO,MARCH,Director,50
57,PAMELA,TOMASELLI,Pedagogican Coordinator,51
58,SANDRA,CIAPPI,Pedagogican Coordinator,52
59,ELENA,RICCI,Pedagogican Coordinator,53
60,GIANNA,ANGELI,Pedagogican Coordinator,54
61,FRANCESCA,VARESCHI,Pedagogican Coordinator,55
62,MARIANGELA,SIMONCINI,Pedagogican Coordinator,56
63,GIANNA,ANGELI,Pedagogican Coordinator,57
64,ALESSANDRA,POMILIO,Pedagogican Coordinator,58
65,ROBERTA,MEDEGHINI,Pedagogican Coordinator,59
66,PAOLA,SANGIORGI,Pedagogican Coordinator,60
67,FRANCESCA,VARESCHI,Pedagogican Coordinator,61
68,MARIANGELA,SIMONCINI,Pedagogican Coordinator,62
69,MARIANGELA,SIMONCINI,Pedagogican Coordinator,63
70,SARA,DE ZOLT,Pedagogican Coordinator,64
71,UTE,PANCHER,Pedagogican Coordinator,65
72,TIZIANA,CEOL,Pedagogican Coordinator,66
73,PAMELA,TOMASELLI,Pedagogican Coordinator,67
74,ROBERTA,MEDEGHINI,Pedagogican Coordinator,68
75,DANIELA,DALCASTAGNE',Pedagogican Coordinator,69
76,SANDRA,CIAPPI,Pedagogican Coordinator,70
77,SARA,DE ZOLT,Pedagogican Coordinator,71
78,ROBERTA,MEDEGHINI,Pedagogican Coordinator,72
79,GIANNA,ANGELI,Pedagogican Coordinator,73
80,DANIELA,DALCASTAGNE',Pedagogican Coordinator,74
81,ALESSANDRA,POMILIO,Pedagogican Coordinator,75
82,FRANCESCA,VARESCHI,Pedagogican Coordinator,76
83,ALESSANDRA,POMILIO,Pedagogican Coordinator,77
84,LORENZO,SANTORUM,Pedagogican Coordinator,78
85,IVANA,LEONARDELLI,Pedagogican Coordinator,79
86,ROBERTA,MEDEGHINI,Pedagogican Coordinator,80
87,PAMELA,TOMASELLI,Pedagogican Coordinator,81
88,LORENZO,SANTORUM,Pedagogican Coordinator,82
89,LUISA,FONTANARI,Pedagogican Coordinator,83
90,LUISA,FONTANARI,Pedagogican Coordinator,84
91,PAOLA,SANGIORGI,Pedagogican Coordinator,85
92,PAOLA,SANGIORGI,Pedagogican Coordinator,86
93,UTE,PANCHER,Pedagogican Coordinator,87
94,PAOLA,SANGIORGI,Pedagogican Coordinator,88
95,LUISA,FONTANARI,Pedagogican Coordinator,89
96,DANIELA,DALCASTAGNE',Pedagogican Coordinator,90
97,DANIELA,DALCASTAGNE',Pedagogican Coordinator,91
98,LUISA,FONTANARI,Pedagogican Coordinator,92
99,PAOLA,SANGIORGI,Pedagogican Coordinator,93
100,DANIELA,DALCASTAGNE',Pedagogican Coordinator,94
101,SANDRA,CIAPPI,Pedagogican Coordinator,95
102,IVANA,LEONARDELLI,Pedagogican Coordinator,96
103,SANDRA,CIAPPI,Pedagogican Coordinator,97
104,IVANA,LEONARDELLI,Pedagogican Coordinator,98
105,ANDREA,VALERIO,President of Managing Body,98
106,SANDRA,CIAPPI,Pedagogican Coordinator,99
107,IVANA,LEONARDELLI,Pedagogican Coordinator,100
108,ANDREA,VALERIO,President of Managing Body,100
109,UTE,PANCHER,Pedagogican Coordinator,101
110,LUISA,FONTANARI,Pedagogican Coordinator,102
111,ROBERTA,BERTOLAS,Pedagogican Coordinator,103
112,SANDRA,CIAPPI,Pedagogican Coordinator,104
113,GIANNA,ANGELI,Pedagogican Coordinator,105
114,CARMEN,FATTORI,Pedagogican Coordinator,106
115,LORENZO,SANTORUM,Pedagogican Coordinator,107
116,CARMEN,FATTORI,Pedagogican Coordinator,108
117,DANIELA,DALCASTAGNE',Pedagogican Coordinator,109
118,MARIANGELA,SIMONCINI,Pedagogican Coordinator,110
119,PAMELA,TOMASELLI,Pedagogican Coordinator,111
120,ALESSANDRA,POMILIO,Pedagogican Coordinator,112
121,GIORGIO,FERRARI,President of Managing Body,112
