nome,cognome,titolo,id_istituto
BRUNO,GENTILINI,DIRIGENTE SCOLASTICO,0
MARCO,FELICETTI,DIRIGENTE SCOLASTICO,1
ENRICA,RIGOTTI,DIRIGENTE SCOLASTICO,2
CARLO,MUSIO,DIRIGENTE SCOLASTICO,3
LOREDANA,FRISINGHELLI,PRESIDENTE ENTE GESTORE,4
CHRISTIAN,BONAZZA,DIRIGENTE SCOLASTICO,5
BRUNO,DAVES,DIRETTORE,5
CHRISTIAN,BONAZZA,DIRIGENTE SCOLASTICO,6
BRUNO,DAVES,DIRETTORE,6
MARCELLO,SOTTOPIETRA,DIRIGENTE SCOLASTICO,7
MICHELE,FILIPPINI,DIRETTORE,8
DIEGO,FREO,DIRETTORE,9
GIULIANA,BATTISTI,COORDINATORE PEDAGOGICO,10
CATERINA,FRUET,COORDINATORE PEDAGOGICO,11
RITA,FERENZENA,COORDINATORE PEDAGOGICO,12
LUCA,BRANZ,DIRETTORE,13
DINO,MOSER,DIRETTORE,14
EMILIO,SALVATERRA,DIRETTORE,15
MASSIMO,MALOSSINI,DIRETTORE,16
PAOLA,COCCIA,DIRETTORE,17
BERNARDO,ZANONER,DIRIGENTE SCOLASTICO,18
CHIARA,BERTOLINI,DIRETTORE,18
BERNARDO,ZANONER,DIRIGENTE SCOLASTICO,19
ANNA,PRATI,DIRETTORE,19
ERIK,GADOTTI,DIRIGENTE SCOLASTICO,20
CLAUDIO,NICOLUSSI,DIRETTORE,21
WALTER,IORI,DIRETTORE,22
WALTER,IORI,DIRETTORE,23
PAOLO,ZANLUCCHI,DIRETTORE,24
WALTER,IORI,DIRETTORE,25
FAUSTO,ECCHER,DIRETTORE,26
SARA,DE ZOLT,COORDINATORE PEDAGOGICO,27
ELENA,RICCI,COORDINATORE PEDAGOGICO,28
CARMEN,FATTORI,COORDINATORE PEDAGOGICO,29
IVANA,LEONARDELLI,COORDINATORE PEDAGOGICO,30
SILVANO,MEDVES,COORDINATORE PEDAGOGICO,31
VALENTINA,ZANOLLA,DIRIGENTE SCOLASTICO,32
DANIELA,SIMONCELLI,DIRIGENTE SCOLASTICO,33
LORENZA,MORELLI,DIRIGENTE SCOLASTICO,34
PAOLO,MUNARETTO,DIRIGENTE SCOLASTICO,35
NICOLA,TOFFANELLO,DIRIGENTE SCOLASTICO,36
ANDREA,BEZZI,DIRIGENTE SCOLASTICO,37
ALFREDO,ROMANTINI,DIRIGENTE SCOLASTICO,38
GIUSEPPE,SANTOLI,DIRIGENTE SCOLASTICO,39
GIUSEPPE,RIZZA,DIRIGENTE SCOLASTICO,40
LAURA,ZOLLER,DIRIGENTE SCOLASTICO,41
PAOLO,PENDENZA,DIRIGENTE SCOLASTICO,42
STEFANO,KIRCHNER,DIRIGENTE SCOLASTICO,43
TERESA,PERITI,DIRIGENTE SCOLASTICO,44
MANUELA,BROZ,DIRIGENTE SCOLASTICO,45
PAOLA,BARATTER,DIRIGENTE SCOLASTICO,46
ELENA,RUGGIERI,DIRIGENTE SCOLASTICO,47
TIZIANA,ROSSI,DIRIGENTE SCOLASTICO,48
FEDERICO,CORRADINI,SORASTANT,49
FEDERICO,CORRADINI,DIRIGENTE SCOLASTICO,49
GIOVANNI,SCALFI,DIRIGENTE SCOLASTICO,50
CLAUDIO,MARCH,DIRETTORE,50
PAMELA,TOMASELLI,COORDINATORE PEDAGOGICO,51
SANDRA,CIAPPI,COORDINATORE PEDAGOGICO,52
ELENA,RICCI,COORDINATORE PEDAGOGICO,53
GIANNA,ANGELI,COORDINATORE PEDAGOGICO,54
FRANCESCA,VARESCHI,COORDINATORE PEDAGOGICO,55
MARIANGELA,SIMONCINI,COORDINATORE PEDAGOGICO,56
GIANNA,ANGELI,COORDINATORE PEDAGOGICO,57
ALESSANDRA,POMILIO,COORDINATORE PEDAGOGICO,58
ROBERTA,MEDEGHINI,COORDINATORE PEDAGOGICO,59
PAOLA,SANGIORGI,COORDINATORE PEDAGOGICO,60
FRANCESCA,VARESCHI,COORDINATORE PEDAGOGICO,61
MARIANGELA,SIMONCINI,COORDINATORE PEDAGOGICO,62
MARIANGELA,SIMONCINI,COORDINATORE PEDAGOGICO,63
SARA,DE ZOLT,COORDINATORE PEDAGOGICO,64
UTE,PANCHER,COORDINATORE PEDAGOGICO,65
TIZIANA,CEOL,COORDINATORE PEDAGOGICO,66
PAMELA,TOMASELLI,COORDINATORE PEDAGOGICO,67
ROBERTA,MEDEGHINI,COORDINATORE PEDAGOGICO,68
DANIELA,DALCASTAGNE',COORDINATORE PEDAGOGICO,69
SANDRA,CIAPPI,COORDINATORE PEDAGOGICO,70
SARA,DE ZOLT,COORDINATORE PEDAGOGICO,71
ROBERTA,MEDEGHINI,COORDINATORE PEDAGOGICO,72
GIANNA,ANGELI,COORDINATORE PEDAGOGICO,73
DANIELA,DALCASTAGNE',COORDINATORE PEDAGOGICO,74
ALESSANDRA,POMILIO,COORDINATORE PEDAGOGICO,75
FRANCESCA,VARESCHI,COORDINATORE PEDAGOGICO,76
ALESSANDRA,POMILIO,COORDINATORE PEDAGOGICO,77
LORENZO,SANTORUM,COORDINATORE PEDAGOGICO,78
IVANA,LEONARDELLI,COORDINATORE PEDAGOGICO,79
ROBERTA,MEDEGHINI,COORDINATORE PEDAGOGICO,80
PAMELA,TOMASELLI,COORDINATORE PEDAGOGICO,81
LORENZO,SANTORUM,COORDINATORE PEDAGOGICO,82
LUISA,FONTANARI,COORDINATORE PEDAGOGICO,83
LUISA,FONTANARI,COORDINATORE PEDAGOGICO,84
PAOLA,SANGIORGI,COORDINATORE PEDAGOGICO,85
PAOLA,SANGIORGI,COORDINATORE PEDAGOGICO,86
UTE,PANCHER,COORDINATORE PEDAGOGICO,87
PAOLA,SANGIORGI,COORDINATORE PEDAGOGICO,88
LUISA,FONTANARI,COORDINATORE PEDAGOGICO,89
DANIELA,DALCASTAGNE',COORDINATORE PEDAGOGICO,90
DANIELA,DALCASTAGNE',COORDINATORE PEDAGOGICO,91
LUISA,FONTANARI,COORDINATORE PEDAGOGICO,92
PAOLA,SANGIORGI,COORDINATORE PEDAGOGICO,93
DANIELA,DALCASTAGNE',COORDINATORE PEDAGOGICO,94
SANDRA,CIAPPI,COORDINATORE PEDAGOGICO,95
IVANA,LEONARDELLI,COORDINATORE PEDAGOGICO,96
SANDRA,CIAPPI,COORDINATORE PEDAGOGICO,97
IVANA,LEONARDELLI,COORDINATORE PEDAGOGICO,98
ANDREA,VALERIO,PRESIDENTE ENTE GESTORE,98
SANDRA,CIAPPI,COORDINATORE PEDAGOGICO,99
