"Istituto Principale";Scuola;"Tipo Istituto";"Tipo Gestione";Dirigente;Direttore;"Coordinatore Pedagogico";Indirizzo;Comune;Telefono;Fax;"Email istituto";"Email dirigenza";"Email segreteria";"Sito web";"Codice MIUR"
"ISTITUTO COMPRENSIVO BRENTONICO";"SCUOLA SECONDARIA DI PRIMO GRADO BRENTONICO";;"A carattere statale/provinciale";"ENRICA RIGOTTI";;;"Via Calzolari - Localita Fontana, 2 38060";BRENTONICO;0464/395189;0464/392710;ic.brentonico@pec.provincia.tn.it;dir.ic.brentonico@scuole.provincia.tn.it;segr.ic.brentonico@scuole.provincia.tn.it;;TNMM861017
"ISTITUTO COMPRENSIVO CENTRO VALSUGANA";"SCUOLA PRIMARIA RONCHI VALSUGANA";;"A carattere statale/provinciale";"BRUNO GENTILINI";;;"Via Marchi, 14 38050";"RONCHI VALSUGANA";0461/764581;0461/771046;ic.centrovalsugana@pec.provincia.tn.it;dir.ic.centrovalsugana@scuole.provincia.tn.it;segr.ic.centrovalsugana@scuole.provincia.tn.it;www.iccentrovalsugana.it;TNEE813109
"ISTITUTO DI ISTRUZIONE ""La Rosa Bianca"" - CAVALESE";"LICEO DELLE SCIENZE UMANE";;"A carattere statale/provinciale";"MARCO FELICETTI";;;"Via Gandhi, 1 38033";CAVALESE;0462/341449;0462/248071;weisserose@pec.provincia.tn.it;dir.iicavalese@scuole.provincia.tn.it;segr.iicavalese@scuole.provincia.tn.it;www.scuolefiemme.tn.it;TNPS001015
"ISTITUTO COMPRENSIVO BRENTONICO";;"Istituzione scolastica e formativa";"A carattere statale/provinciale";"ENRICA RIGOTTI";;;"Via Calzolari - Localita Fontana, 2 38060";BRENTONICO;0464/395189;0464/392710;ic.brentonico@pec.provincia.tn.it;dir.ic.brentonico@scuole.provincia.tn.it;segr.ic.brentonico@scuole.provincia.tn.it;;TNIC861006
"ISTITUTO COMPRENSIVO BRENTONICO";"SCUOLA PRIMARIA BRENTONICO";;"A carattere statale/provinciale";"ENRICA RIGOTTI";;;"Via Calzolari - Localita Fontana, 2 38060";BRENTONICO;0464/395189;0464/392710;ic.brentonico@pec.provincia.tn.it;dir.ic.brentonico@scuole.provincia.tn.it;segr.ic.brentonico@scuole.provincia.tn.it;;TNEE861018
"ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO";;"Istituzione scolastica e formativa";Paritaria/equiparata;"CARLO MUSIO";;;"Via Conci, 86 38123";TRENTO;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;www.scuolasteiner-trento.it;
"ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO";"ASSOCIAZIONE R. STEINER - PRIMARIA";;Paritaria/equiparata;"CARLO MUSIO";;;"Via Conci, 86 38123";TRENTO;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;www.scuolasteiner-trento.it;TN1E00900D
"ASSOCIAZIONE PEDAGOGICA STEINERIANA - TRENTO";"ASSOCIAZIONE R. STEINER - SECONDARIA I GRADO";;Paritaria/equiparata;"CARLO MUSIO";;;"Via Conci, 86 38123";TRENTO;0461/930658;;associazione@pec.scuolasteiner-trento.it;;segreteria@scuolasteiner-trento.it;www.scuolasteiner-trento.it;TN1M007003
"ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO";;"Scuola dell'infanzia";Paritaria/equiparata;;;;"Via Stazione Mori, 10 38068";ROVERETO;;;;;;;
"ASSOCIAZIONE RUDOLF STEINER PER LA PEDAGOGIA APS - ROVERETO";"Asilo Colle Fiorito";;Paritaria/equiparata;;;;"Via Stazione Mori, 10 38068";ROVERETO;"0464 434899";;;;;;
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";;"Istituzione scolastica e formativa";Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"ISTITUTO TECNICO PER IL SETTORE ECONOMICO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;TNTD37500F
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;TNTD37500F
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"LICEO CLASSICO ARCIVESCOVILE - TRENTO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;TNPC01500V
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"LICEO LINGUISTICO ARCIVESCOVILE - TRENTO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;TNPL085003
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"LICEO SCIENTIFICO ARCIVESCOVILE - TRENTO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;TNPS015002
"COLLEGIO ARCIVESCOVILE C.ENDRICI - TRENTO";"SCUOLA PRIMARIA ARCIVESCOVILE TRENTO";;Paritaria/equiparata;"CHRISTIAN BONAZZA";"BRUNO DAVES";;"Via Monsignor  Endrici, 23 38122";TRENTO;0461/1731200;0461/1731288;collegioarcivescovile@pec.it;collegioarcivescovile@arcivescoviletrento.it;didatticatn@arcivescoviletrento.it;www.arcivescoviletrento.it;TN1E00100V
