,teaching_unit,date_for_find_type_of_courses_of_study,title,indirizzo,school_id
0,2239057,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""amministrazione, finanza e marketing""",29783
1,2239057,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""amministrazione, finanza e marketing"" articolazione ""relazioni internazionali per il marketing""",29783
2,2239057,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""amministrazione, finanza e marketing"" articolazione ""sistemi informativi aziendali""",29783
3,2239057,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""turismo""",29783
4,2675082,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""amministrazione, finanza e marketing""",29784
5,2239059,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore tecnologico indirizzo ""costruzioni, ambiente e territorio""",29785
6,2239059,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore tecnologico indirizzo ""costruzioni, ambiente e territorio"" opzione ""tecnologie del legno nelle costruzioni""",29785
7,2239059,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore tecnologico indirizzo ""costruzioni,ambiente e territorio"" articolazione ""geotecnico""",29785
8,2918503,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore tecnologico indirizzo ""costruzioni, ambiente e territorio""",29786
9,2918503,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore tecnologico indirizzo ""informatica e telecomunicazioni"" articolazione ""informatica""",29786
10,2239053,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di liceo delle scienze umane opzione ""economico sociale""",29787
11,2239055,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo linguistico,29788
12,15561,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo scientifico,29789
13,2381642,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo delle scienze umane,65579
14,3828162,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore economico indirizzo ""amministrazione, finanza e marketing""",29230
15,8901927,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,"Diploma di istituto tecnico settore tecnologico indirizzo ""grafica e comunicazione""",29231
16,14205,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo classico,29232
17,2237963,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo linguistico,29233
18,14213,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo scientifico,29234
19,14213,2022-11-12,DIPLOMA ESAME DI STATO CONCLUSIVO DEL SECONDO CICLO,Diploma di liceo scientifico indirizzo sportivo,29234
