,Unnamed: 0,school_type,address,phone_number,fax_number,school_email,management_email,office_email,website,miur_code,school_name,school_id,institute_id,institute_id_number,municipalityISTITUTO
0,0,Provincial,"Piazza Municipio, 5",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813064,"SCUOLA PRIMARIA ""C. CORRADI"" NOVALEDO",29503,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Novaledo
1,1,Provincial,"Via Baldessari, 15",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813075,"SCUOLA PRIMARIA ""P. MARTINELLI"" RONCEGNO TERME",29504,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Roncegno Terme
2,2,Provincial,"Piazza Municipio, 4",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE81301V,"SCUOLA PRIMARIA ""T. V. GOZZER"" CASTELNUOVO",29505,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Castelnuovo
3,3,Provincial,"Via Della Chiesa, 14",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813086,SCUOLA PRIMARIA MARTER,29506,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Roncegno Terme
4,4,Provincial,"Via Giusti, 5",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE81302X,SCUOLA PRIMARIA TELVE,29507,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Telve
5,5,Provincial,"Via delle Scuole, 19",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813031,SCUOLA PRIMARIA TELVE DI SOPRA,29508,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Telve di Sopra
6,6,Provincial,"Via Borgo, 2/A",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNMM81301T,"SCUOLA SECONDARIA DI PRIMO GRADO ""DON L. MILANI"" TELVE",29509,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Telve
7,7,Provincial,"Via Don Meggio, 2/A",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNMM81302V,"SCUOLA SECONDARIA DI PRIMO GRADO ""M. POLA"" RONCEGNO TERME",29510,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Roncegno Terme
8,8,Provincial,"Via Marchi, 14",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813109,SCUOLA PRIMARIA RONCHI VALSUGANA,65578,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0,Ronchi Valsugana
9,9,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNCT710006,EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO,29782,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese
10,10,Provincial,"Corso Degasperi, 14",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001011,ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO,29783,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Predazzo
11,11,Provincial,"Corso Degasperi, 14",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001509,ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO,29784,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Predazzo
12,12,Provincial,"Via Gandhi, 1",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTL00101B,ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO,29785,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1,Cavalese
