school_type,address,phone_number,fax_number,school_email,management_email,office_email,website,miur_code,school_name,school_id,institute_id,institute_id_number
Provinciale,"Piazza Municipio,
    
5 -
    
38050    
NOVALEDO",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813064,"

                
SCUOLA PRIMARIA ""C. CORRADI"" NOVALEDO
            
",29503,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via Baldessari,
    
15 -
    
38050    
RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813075,"

                
SCUOLA PRIMARIA ""P. MARTINELLI"" RONCEGNO TERME
            
",29504,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Piazza Municipio,
    
4 -
    
38050    
CASTELNUOVO",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE81301V,"

                
SCUOLA PRIMARIA ""T. V. GOZZER"" CASTELNUOVO
            
",29505,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via Della Chiesa,
    
14 -
    
38050    
RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813086,"

                
SCUOLA PRIMARIA MARTER
            
",29506,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via Giusti,
    
5 -
    
38050    
TELVE",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE81302X,"

                
SCUOLA PRIMARIA TELVE
            
",29507,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via delle Scuole,
    
19 -
    
38050    
TELVE DI SOPRA",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813031,"

                
SCUOLA PRIMARIA TELVE DI SOPRA
            
",29508,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via Borgo,
    
2/A -
    
38050    
TELVE",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNMM81301T,"

                
SCUOLA SECONDARIA DI PRIMO GRADO ""DON L. MILANI"" TELVE
            
",29509,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via Don Meggio,
    
2/A -
    
38050    
RONCEGNO TERME",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNMM81302V,"

                
SCUOLA SECONDARIA DI PRIMO GRADO ""M. POLA"" RONCEGNO TERME
            
",29510,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via Marchi,
    
14 -
    
38050    
RONCHI VALSUGANA",+39 0461 764581,+39 0461 771046,ic.centrovalsugana@pec.provincia.tn.it,dir.ic.centrovalsugana@scuole.provincia.tn.it,segr.ic.centrovalsugana@scuole.provincia.tn.it,http://www.iccentrovalsugana.it,TNEE813109,"

                
SCUOLA PRIMARIA RONCHI VALSUGANA
            
",65578,/Scuole/ISTITUTO-COMPRENSIVO-CENTRO-VALSUGANA212,0
Provinciale,"Via Gandhi,
    
1 -
    
38033    
CAVALESE",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNCT710006,"

                
EDUCAZIONE PER ADULTI RELATIVA AL PRIMO CICLO
            
",29782,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
Provinciale,"Corso Degasperi,
    
14 -
    
38037    
PREDAZZO",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001011,"

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO - PREDAZZO
            
",29783,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
Provinciale,"Corso Degasperi,
    
14 -
    
38037    
PREDAZZO",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001509,"

                
ISTITUTO TECNICO PER IL SETTORE ECONOMICO SERALE - PREDAZZO
            
",29784,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
Provinciale,"Via Gandhi,
    
1 -
    
38033    
CAVALESE",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTL00101B,"

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO
            
",29785,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
Provinciale,"Corso Degasperi,
    
14 -
    
38037    
PREDAZZO",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNTD001509,"

                
ISTITUTO TECNICO PER IL SETTORE TECNOLOGICO SERALE - PREDAZZO
            
",29786,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
Provinciale,"Via Gandhi,
    
1 -
    
38033    
CAVALESE",+39 0462 341449,+39 0462 248071,weisserose@pec.provincia.tn.it,dir.iicavalese@scuole.provincia.tn.it,segr.iicavalese@scuole.provincia.tn.it,http://www.scuolefiemme.tn.it,TNPS001015,"

                
LICEO DELLE SCIENZE UMANE OPZIONE ECONOMICO SOCIALE
            
",29787,/Scuole/ISTITUTO-DI-ISTRUZIONE-La-Rosa-Bianca-CAVALESE2,1
